year;Action;Adult;Adventure;Animation;Biography;Comedy;Crime;Drama;Family;Fantasy;Film-Noir;Horror;History;Music;Mystery;Romance;Sci-Fi;Sport;Thriller;War;Western
1913;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
1914;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
1915;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
1916;0;0;1;0;0;0;1;3;0;0;0;0;2;0;0;0;0;0;0;0;0
1917;0;0;2;0;0;1;1;4;0;0;0;0;2;0;0;0;0;0;0;0;0
1918;1;0;3;0;0;2;1;5;0;0;0;0;2;0;0;0;0;0;0;0;1
1919;1;0;3;0;0;2;1;6;0;0;0;0;2;0;0;0;0;0;0;0;1
1920;1;0;3;0;0;2;2;9;0;0;0;0;2;0;0;1;0;0;0;0;1
1921;1;0;3;0;0;2;2;13;0;0;0;0;3;0;0;3;0;0;0;1;1
1922;1;0;3;0;0;4;2;16;0;0;0;1;3;0;1;4;0;0;1;1;1
1923;2;0;5;0;0;8;2;21;1;0;0;1;3;0;1;12;0;0;3;1;2
1924;5;0;8;0;0;12;2;26;2;1;0;1;7;0;1;21;0;0;3;1;3
1925;5;0;10;0;0;15;4;36;2;3;0;1;7;0;1;28;1;0;3;2;3
1926;9;0;15;0;0;21;4;52;2;4;0;1;8;0;1;37;1;1;3;5;3
1927;12;0;18;0;1;29;5;72;4;4;0;3;9;0;1;53;2;2;3;7;4
1928;12;0;18;0;1;30;6;83;4;4;0;4;9;2;3;56;2;2;4;8;5
1929;12;0;20;0;1;35;6;88;4;4;0;4;10;6;3;60;2;2;4;8;5
1930;13;0;24;0;1;40;7;93;6;5;0;4;10;8;3;62;2;2;4;9;6
1931;13;0;24;0;2;40;9;97;6;5;0;4;11;9;3;64;2;2;4;9;6
1932;15;0;26;0;2;42;12;104;7;5;3;5;12;9;3;68;2;3;4;9;6
1933;15;0;27;0;3;48;12;114;8;6;3;6;13;15;3;73;2;3;4;10;7
1934;15;0;29;0;3;52;13;115;9;6;3;7;13;16;3;76;2;3;4;10;8
1935;15;0;29;0;3;55;14;117;9;6;3;8;13;18;3;78;3;3;4;10;11
1936;15;0;29;0;3;60;15;119;11;7;3;8;14;20;4;81;3;4;4;10;11
1937;15;0;30;1;4;62;15;123;12;7;3;8;14;21;4;84;3;4;4;10;11
1938;16;0;31;1;4;66;15;125;12;7;3;8;14;22;4;88;3;4;4;10;11
1939;17;0;33;1;5;69;16;130;14;8;3;8;14;23;5;92;3;4;4;12;11
1940;19;0;35;3;5;71;16;133;16;9;4;8;14;23;6;93;3;4;5;12;12
1941;19;0;35;4;5;76;18;137;18;9;6;9;14;25;9;94;4;5;6;13;12
1942;22;0;41;5;6;87;18;150;21;9;6;9;15;29;9;103;4;5;6;20;13
1943;23;0;43;5;6;90;18;154;21;9;6;11;16;35;9;104;4;5;6;22;13
1944;24;0;44;5;7;94;21;159;22;9;8;12;17;36;12;104;4;5;6;22;13
1945;24;0;44;5;8;96;22;164;22;9;10;12;17;38;13;105;4;5;6;22;13
1946;25;0;45;6;9;99;24;169;25;9;12;12;17;40;15;110;4;5;6;24;16
1947;25;0;48;6;9;104;27;176;25;9;14;12;17;43;15;112;4;5;6;25;16
1948;26;0;51;6;9;107;27;179;26;11;15;12;17;47;16;115;4;5;6;25;17
1949;27;0;52;6;9;110;27;185;27;11;18;12;20;49;17;118;4;5;7;25;18
1950;27;0;53;6;9;113;28;190;27;11;19;12;20;52;17;120;5;5;7;25;19
1951;28;0;54;6;10;117;29;197;28;11;22;12;21;56;17;123;6;5;7;25;20
1952;30;0;58;6;11;122;29;206;30;11;22;12;23;60;17;129;7;5;8;26;21
1953;31;0;60;7;11;126;30;211;32;11;22;15;23;62;18;133;9;5;10;28;23
1954;35;0;68;7;11;130;34;222;34;11;23;17;25;67;20;137;10;5;12;30;26
1955;36;0;71;8;11;136;36;227;35;13;24;18;26;71;21;142;11;5;13;32;27
1956;36;0;77;9;13;141;36;236;37;14;24;19;28;77;21;149;13;5;14;34;28
1957;39;0;81;9;14;142;39;252;39;15;25;21;28;78;22;153;15;5;15;36;29
1958;42;0;84;9;14;143;40;256;40;15;26;22;29;78;23;156;16;5;16;36;29
1959;45;0;90;10;15;148;40;268;43;15;26;23;30;79;26;164;18;5;17;39;31
1960;48;0;93;10;16;160;40;281;46;17;26;27;32;83;29;172;18;6;19;39;32
1961;49;0;96;11;18;169;40;292;49;18;26;29;33;86;30;180;19;7;19;40;35
1962;52;0;103;12;21;176;42;305;52;20;26;30;37;89;30;184;19;8;21;41;36
1963;56;0;113;13;22;189;45;314;56;21;26;33;41;90;33;191;20;8;22;41;36
1964;59;0;118;14;22;202;49;330;59;22;26;35;42;96;38;198;21;8;26;44;38
1965;62;0;123;14;24;216;51;340;62;22;26;35;44;100;39;204;21;8;28;48;42
1966;67;0;129;14;25;225;51;350;65;22;26;36;45;101;39;208;21;9;28;49;48
1967;71;0;134;14;25;240;55;367;65;22;26;36;45;106;40;216;21;9;33;51;49
1968;72;0;138;15;28;252;58;382;72;25;26;36;47;108;41;218;23;10;35;54;51
1969;79;0;143;16;31;270;60;420;72;26;26;36;51;114;41;228;24;11;38;59;54
1970;90;0;151;17;38;299;69;471;74;31;26;39;55;118;44;244;25;12;43;67;61
1971;103;1;155;18;41;313;81;501;76;32;26;43;59;119;49;249;31;12;51;69;68
1972;120;3;162;19;44;332;97;549;79;34;26;48;60;124;56;258;35;12;59;70;73
1973;133;4;170;20;48;354;119;588;80;38;26;53;62;126;64;264;41;12;69;70;77
1974;149;7;179;21;49;377;136;627;86;39;26;55;64;128;66;274;42;12;85;70;79
1975;160;7;191;21;54;392;146;656;89;41;26;58;66;132;70;280;45;15;91;70;82
1976;165;7;195;22;54;400;153;671;93;41;26;58;67;132;71;283;47;16;99;70;85
1977;172;7;210;25;55;417;155;691;95;45;26;62;68;133;73;290;50;20;106;71;85
1978;181;7;218;26;58;435;162;715;97;49;26;68;69;138;78;302;54;22;112;73;85
1979;191;7;229;26;59;460;165;738;99;49;26;72;70;142;84;312;61;25;119;77;87
1980;203;7;244;27;66;504;176;775;104;57;26;78;72;150;90;326;66;27;124;79;92
1981;219;7;263;29;69;538;193;825;105;62;26;92;78;155;98;342;74;31;140;84;94
1982;240;7;277;32;73;588;212;884;110;72;26;108;80;164;108;357;85;35;153;86;95
1983;267;7;295;33;77;633;233;939;112;82;26;124;82;175;116;383;96;38;171;89;95
1984;295;7;319;34;79;697;255;1011;113;92;26;133;85;191;122;414;110;40;183;94;95
1985;332;7;351;41;88;767;272;1080;124;107;26;147;85;198;134;442;126;43;201;96;97
1986;378;7;385;48;93;841;311;1168;135;118;26;169;88;208;142;475;137;54;227;100;98
1987;413;7;404;52;99;931;350;1263;143;140;26;193;91;215;154;515;149;55;255;105;98
1988;448;7;426;58;106;1030;390;1381;149;161;26;227;95;229;170;565;158;63;278;110;100
1989;492;7;449;63;117;1121;435;1477;157;173;26;244;101;234;180;600;169;70;300;113;100
1990;537;7;474;67;127;1206;480;1582;167;185;26;266;107;241;192;637;181;74;333;118;103
1991;574;7;494;71;133;1293;521;1695;179;202;26;272;114;252;204;680;188;77;356;121;105
1992;603;7;512;76;146;1369;564;1815;189;214;26;285;116;261;217;723;196;85;388;124;107
1993;639;7;534;81;162;1452;610;1945;208;234;26;296;122;275;231;768;205;89;416;126;110
1994;674;7;564;85;177;1568;658;2064;231;244;26;307;126;280;243;818;212;98;432;131;112
1995;712;7;602;90;186;1659;703;2197;256;261;26;320;132;282;255;870;224;99;464;134;115
1996;751;7;637;95;195;1762;744;2324;273;278;26;331;140;291;267;915;236;108;497;137;116
1997;801;7;671;101;206;1854;790;2447;291;288;26;341;145;296;286;961;251;111;526;140;116
1998;841;7;697;108;216;1953;831;2571;303;298;26;355;151;307;302;1010;263;119;552;142;118
1999;867;7;723;114;230;2062;862;2703;314;314;26;369;157;317;320;1073;277;125;577;149;120
2000;905;7;759;124;239;2159;905;2841;325;328;26;384;163;332;338;1136;290;134;606;155;122
2001;953;7;792;134;251;2261;954;2971;332;343;26;396;168;344;363;1204;301;141;632;157;123
2002;1004;7;829;146;261;2353;1002;3110;346;355;26;411;171;355;386;1265;313;144;667;162;123
2003;1052;7;866;153;270;2455;1043;3218;359;367;26;424;178;368;399;1312;322;147;690;168;124
2004;1103;7;903;166;287;2557;1081;3338;378;379;26;438;184;384;422;1368;338;152;715;173;124
2005;1146;7;946;176;304;2663;1131;3474;402;393;26;462;190;402;443;1419;348;163;737;175;127
2006;1194;7;997;194;326;2772;1171;3616;422;418;26;485;203;412;467;1472;360;177;772;179;128
2007;1243;7;1041;208;347;2869;1220;3762;449;438;26;508;212;429;492;1527;368;194;803;180;128
2008;1299;7;1086;220;363;2973;1262;3903;464;453;26;522;221;440;506;1580;381;203;832;188;129
2009;1358;7;1127;234;385;3064;1302;4022;479;466;26;543;225;450;532;1632;396;209;865;191;129
2010;1411;7;1165;244;399;3157;1331;4145;497;484;26;558;230;461;546;1688;406;211;890;192;131
2011;1473;7;1210;261;412;3251;1355;4266;508;502;26;573;232;464;568;1730;428;216;927;195;131
2012;1527;7;1252;272;428;3336;1386;4388;516;517;26;588;242;475;586;1769;442;221;962;199;133
2013;1589;7;1296;287;451;3409;1426;4509;525;533;26;606;250;484;599;1807;462;227;1004;201;135
2014;1658;7;1347;301;478;3486;1462;4654;538;544;26;625;261;494;625;1849;483;230;1043;205;137
2015;1723;7;1404;317;515;3578;1489;4787;546;553;26;637;278;505;642;1880;501;235;1067;210;139
2016;1807;7;1465;339;552;3676;1530;4936;559;574;26;666;293;510;661;1923;516;243;1104;211;140
2017;1862;7;1514;358;585;3766;1564;5095;569;597;26;684;307;518;680;1955;526;246;1131;216;143
2018;1943;7;1579;375;623;3849;1614;5249;578;614;26;710;322;530;701;1987;547;252;1171;218;144
2019;1998;7;1627;391;636;3908;1633;5326;586;627;26;730;328;539;714;2006;557;255;1187;220;144
2020;2007;7;1637;394;636;3915;1634;5331;588;629;26;733;328;539;716;2007;560;255;1190;220;144
2021;2023;7;1649;396;637;3919;1639;5334;589;633;26;737;328;539;716;2007;563;255;1194;220;144
2022;2023;7;1649;396;637;3919;1639;5334;589;633;26;737;328;539;716;2007;563;255;1194;220;144
